City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,vilyuysk,63.7553,121.6247,-5.26,90,100,8.28,RU,1732586763
84,mawu,34.4307,104.9176,23.27,44,100,5.95,CN,1732586764
85,taounate,34.5,-4.8333,64.31,63,14,1.23,MA,1732586765
86,wailua homesteads,22.0669,-159.378,78.13,71,0,17.27,US,1732586768
87,susuman,62.7833,148.1667,-27.22,95,10,1.05,RU,1732586769
88,oros,-6.2444,-38.9136,80.47,58,100,8.25,BR,1732586770
89,centerville,39.6284,-84.1594,57.7,95,100,3.0,US,1732586760
90,belidzhi,41.8918,48.4125,46.44,78,99,6.67,RU,1732586772
91,fort saskatchewan,53.7168,-113.2187,6.46,78,20,10.36,CA,1732586773
92,hamilton,39.1834,-84.5333,60.42,95,100,15.01,US,1732586476
93,palembang,-2.9167,104.7458,80.69,83,40,3.44,ID,1732586775
94,port elizabeth,-33.918,25.5701,64.69,92,0,16.11,ZA,1732586776
95,mayna,54.1135,47.6231,27.03,86,4,4.65,RU,1732586777
96,sinabang,2.4803,96.3801,76.59,95,100,3.31,ID,1732586779
97,tateyama,34.9833,139.8667,59.18,63,98,4.47,JP,1732586780
98,ancud,-41.8697,-73.8203,49.64,88,7,8.75,CL,1732586781
99,mount gambier,-37.8333,140.7667,76.69,69,100,3.71,AU,1732586782
100,namibe,-15.1961,12.1522,67.93,79,63,4.99,AO,1732586783
101,taoudenni,22.6783,-3.9836,68.76,28,8,9.04,ML,1732586785
102,puerto natales,-51.7236,-72.4875,46.38,89,6,0.13,CL,1732586788
103,college,64.8569,-147.8028,25.16,85,75,3.44,US,1732586789
104,nar'yan-mar,67.6713,53.087,34.03,89,100,30.04,RU,1732586791
105,princeville,45.7668,-61.2985,43.32,94,100,13.8,CA,1732586793
106,tromso,69.6496,18.957,30.22,86,100,3.44,NO,1732586794
107,aljezur,37.3191,-8.8033,55.78,64,99,4.43,PT,1732586795
108,kodiak,57.79,-152.4072,29.71,80,0,3.44,US,1732586796
109,saint-francois,46.4154,3.9054,47.64,89,0,4.61,FR,1732586797
110,vorgashor,67.5833,63.95,23.95,94,100,27.13,RU,1732586798
111,kilindoni,-7.9139,39.6668,80.91,74,5,6.22,TZ,1732586799
112,jamestown,42.097,-79.2353,49.01,83,100,6.91,US,1732586796
113,richards bay,-28.783,32.0377,74.07,83,21,13.04,ZA,1732586803
114,aasiaat,68.7098,-52.8699,23.67,68,100,16.53,GL,1732586718
115,tiksi,71.6872,128.8694,-0.96,77,100,24.67,RU,1732586648
116,havre,49.5833,0.3333,47.97,87,20,11.5,FR,1732586806
117,udachny,66.4167,112.4,-6.11,97,100,7.7,RU,1732586524
118,tamanrasset,22.785,5.5228,49.91,43,0,4.61,DZ,1732586647
119,inhambane,-23.865,35.3833,72.37,85,0,5.59,MZ,1732586809
120,queenstown,-31.8976,26.8753,64.26,79,98,1.07,ZA,1732586575
121,karoi,-16.8099,29.6925,66.31,81,99,5.39,ZW,1732586812
122,balqash,46.8481,74.995,30.81,59,0,14.61,KZ,1732586813
123,imbituba,-28.24,-48.6703,67.12,91,100,13.78,BR,1732586814
124,havana,23.133,-82.383,73.83,88,40,6.91,CU,1732586815
125,papao,-17.75,-149.55,85.68,75,99,16.24,PF,1732586564
126,xinyuan,37.3,99.0,7.56,45,0,7.47,CN,1732586818
127,lazaro cardenas,17.9583,-102.2,78.01,77,0,3.56,MX,1732586526
128,monitos,8.25,-76.05,77.02,88,81,4.03,CO,1732586820
129,palu,-0.8917,119.8707,76.15,100,100,3.31,ID,1732586821
130,hammerfest,70.6634,23.6821,30.65,80,75,11.5,NO,1732586822
131,fale old settlement,-9.3852,-171.2468,83.8,75,9,17.25,TK,1732586823
132,atafu village,-8.5421,-172.5159,84.02,74,9,17.09,TK,1732586824
133,beroroha,-21.6667,45.1667,77.76,71,0,4.03,MG,1732586826
134,guerrero negro,27.9769,-114.0611,63.52,79,100,7.83,MX,1732586827
135,vila velha,-20.3297,-40.2925,71.55,83,75,3.44,BR,1732586828
136,arraial do cabo,-22.9661,-42.0278,69.76,68,0,9.22,BR,1732586615
137,alaghsas,17.0187,8.0168,67.37,32,3,11.39,NE,1732586830
138,klyuchi,52.2667,79.1667,9.59,95,21,4.7,RU,1732586831
139,prince rupert,54.3161,-130.3201,32.61,56,100,2.89,CA,1732586835
140,chonchi,-42.6128,-73.8092,49.12,97,85,4.65,CL,1732586836
141,buon ma thuot,12.6667,108.05,78.37,68,100,10.85,VN,1732586837
142,karratha,-20.7377,116.8463,90.36,36,91,9.71,AU,1732586838
143,whitby,54.4877,-0.615,40.87,86,17,3.0,GB,1732586839
144,happy valley-goose bay,53.3168,-60.3315,27.3,97,54,3.83,CA,1732586840
145,saldanha,-33.0117,17.9442,59.95,73,62,13.98,ZA,1732586842
146,betong,5.7743,101.0723,78.66,88,54,2.19,TH,1732586843
147,pacific grove,36.6177,-121.9166,60.91,91,75,15.01,US,1732586844
148,gebeit,21.0667,36.3167,64.94,81,88,5.48,SD,1732586845
149,antonio enes,-16.2325,39.9086,77.43,82,5,1.57,MZ,1732586846
150,joaima,-16.6542,-41.0306,68.09,85,98,3.83,BR,1732586849
151,turmalina,-17.2856,-42.73,64.02,87,100,2.42,BR,1732586850
152,vila franca do campo,37.7167,-25.4333,66.61,99,100,15.55,PT,1732586851
153,lubuklinggau,-3.3,102.8667,75.94,87,100,1.59,ID,1732586649
154,oberwinterthur (kreis 2),47.5169,8.7686,49.33,90,75,14.97,CH,1732586854
155,carnarvon,-24.8667,113.6333,77.0,46,0,20.24,AU,1732586855
156,mazamari,-11.3258,-74.5308,71.13,97,99,2.39,PE,1732586857
157,port alfred,-33.5906,26.891,66.18,88,100,4.0,ZA,1732586858
158,aguada de pasajeros,22.385,-80.8508,71.06,94,21,8.12,CU,1732586859
